file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00740_0034_221254_to_225827,འཚོ་བྱེད་གཞོན་ནུའི་སེམས་སུ་བཅོམ་ལྡན་འདས་ལ་དུང་སེམས་དང་གུས་ཞབས་ཀྱི་ཚོར་སྣང་ཞིག་གིས་ཁེངས་ཏེ།  ,'tsho byed gzhon nu'i sems su bcom ldan 'das la dung sems dang gus zhabs kyi tshor snang zhig gis khengs te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00740_0034_221254_to_225827.wav,STT_AB,2,92,4.573,wav16k/STT_AB00740_0034_221254_to_225827.wav,མཚོ་རྗེ་གཞོན་ནུའི་སེམས་སུ་ བཅོམ་ལྡན་འདས་ལ་གདུང་སེམས་དང་གུས་ཞབས་ཀྱི་ཚོར་སྣང་ཞིག་གིས་ཁེངས་ཏེ།
STT_AB00740_0037_238796_to_244496,བཅོམ་ལྡན་འདས་ཀྱང་རང་ཉིད་ཀྱིས་དེ་སྔོན་མཇལ་མྱོང་བའི་སྙན་གྲགས་ཅན་གྱི་སློབ་དཔོན་གཞན་དག་རྣམས་དང་གཅིག་མཚུངས་ཡིན་པའི་ཚོད་དཔག་ ,bcom ldan 'das kyang rang nyid kyis de sngon mjal myong ba'i snyan grags can gyi slob dpon gzhan dag rnams dang gcig mtshungs yin pa'i tshod dpag _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00740_0037_238796_to_244496.wav,STT_AB,2,119,5.7,wav16k/STT_AB00740_0037_238796_to_244496.wav,བཅོམ་ལྡན་འདས་ཀྱང་རང་ཉིད་ཀྱིས་འདས་སྔོན་བྱལ་མྱོང་བའི་སྙན་གྲགས་ཅན་གྱི་སློབ་དཔོན་གཞན་དག་རྣམས་དང་གཅིག་མཚུགས་ཡིན་པའི་མཛོད་དཔག
STT_AB00740_0038_244496_to_250196,དཔག་བྱས་ཡོད་ནའང་། དེ་སྔོན་མོ་རང་བཅོམ་ལྡན་འདས་དང་འདྲ་བའི་སློབ་དཔོན་སུ་གཅིག་ལའང་མཇལ་མྱོང་མེད།  ,dpag byas yod na'ang /_de sngon mo rang bcom ldan 'das dang 'dra ba'i slob dpon su gcig la'ang mjal myong med/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00740_0038_244496_to_250196.wav,STT_AB,2,93,5.7,wav16k/STT_AB00740_0038_244496_to_250196.wav,བྱས་ཡོད་ན་ཡང་། དེ་སྔོན་མོ་རང་བཅོམ་ལྡན་འདས་དང་འདྲ་བའི་སློབ་དཔོན་སུ་གཅིག་ལ་ཡང་སྦྱར་མྱོང་མེད།
STT_AB00740_0055_353906_to_357586,ཕོ་བྲང་ནང་གི་སྐྱེ་བོ་གཞན་དག་གི་ཕྲག་དོག་དང་སྡང་འཛིན་ལས་མཆེད་པའི་ ,pho brang nang gi skye bo gzhan dag gi phrag dog dang sdang 'dzin las mched pa'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00740_0055_353906_to_357586.wav,STT_AB,2,64,3.68,wav16k/STT_AB00740_0055_353906_to_357586.wav,ཕོ་བྲང་རྣང་ཀི་སྐྱེ་བོ་གཞན་དག་གི་ཕྲག་དོག་དང་བདག་འཛིན་ལས་བྱས་པའི་
STT_AB00740_0059_375930_to_378404,སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱིས་གསུང་ངག་འཇམ་ལ་ལྷོད་པའི་ངང་ ,sangs rgyas bcom ldan 'das kyis gsung ngag 'jam la lhod pa'i ngang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00740_0059_375930_to_378404.wav,STT_AB,2,54,2.474,wav16k/STT_AB00740_0059_375930_to_378404.wav,སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱི་གསུང་ཁང་འཇམ་ལ་ལྷོད་པའི་ངང་།
STT_AB00740_0039_251100_to_256382,ཁོང་གི་སྤྱན་གྱི་གཟིགས་སྟངས་དེའང་བརྗོད་ཡུལ་ལས་འདས་པའི་བྱམས་བརྩེ་དང་དུང་སེམས་ཀྱིས་ཕྱུག་པས། མོས་ ,khong gi spyan gyi gzigs stangs de'ang brjod yul las 'das pa'i byams brtse dang dung sems kyis phyug pas/_mos _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00740_0039_251100_to_256382.wav,STT_AB,2,94,5.282,wav16k/STT_AB00740_0039_251100_to_256382.wav,ཁོང་གི་སྤྱན་གྱིས་གཟིགས་སྟངས་དེ་ཡང་བརྗོད་ཡུལ་ལས་འདས་པའི་བྱམས་བརྩེ་དང་གདུང་སེམས་ཀྱིས་ཕྱུག་པའི་མོས་
STT_AB00740_0068_446271_to_455230,ཁྱེད་ཀྱི་འཁོར་དགེ་སློང་རྣམས་ཚལ་དེར་གཟིགས་སྐོར་ཞིག་ཏུ་འབྱོན་རྒྱུའི་ཞལ་བཞེས་གནང་བར་ཞུ། ཁོ་མོས་ཁྱེད་ཅག་གནས་དེར་གདན་འདྲེན་ཞུ་ཐུབ་ཚེ་དེ་ནི་ང་དང་ངའི་བུ་གཉིས་ ,khyed kyi 'khor dge slong rnams tshal der gzigs skor zhig tu 'byon rgyu'i zhal bzhes gnang bar zhu/_kho mos khyed cag gnas der gdan 'dren zhu thub tshe de ni nga dang nga'i bu gnyis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00740_0068_446271_to_455230.wav,STT_AB,2,152,8.959,wav16k/STT_AB00740_0068_446271_to_455230.wav,ཁྱེད་ཀྱི་འཁོར་དགེ་སློང་རྣམས་ཚལ་འདིར་གཟིགས་འཁོར་ཞིག་ཏུ་བྱོན་རྒྱུའི་ཞབས་རྗེས་གནང་བར་ཞུ། ཁོ་མོའི་ཁྱེད་ཅག་གནས་འདིར་གདན་འདྲེན་ཞུ་ཐུབ་ཚེ། དེ་ནས་ང་དང་ངའི་བུ་གཉིས་
STT_MV0117_0064_640323_to_648915,ངས་བྱས་ན་དེ་ཡིད་ཆེས་ཡོད་ཙང་རེད། རང་སེམས་ཁྲལ་མ་བྱེད་ཤིག ང་ཚོ་རང་ཁག་པོ་བཟོ་གི་མ་རེད་རང་གི་བདེ་འཇགས་ང་ཚོ་འགན་ལེན་བྱས་ཆོག ,ngas byas na de yid ches yod tsang red/_rang sems khral ma byed shig_nga tsho rang khag po bzo gi ma red rang gi bde 'jags nga tsho 'gan len byas chog_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0117_0064_640323_to_648915.wav,STT_MV,2,118,8.592,wav16k/STT_MV0117_0064_640323_to_648915.wav,ངས་བྱས་ན་འདི་ཡིད་ཆེས་ཡོད་ཙང་རེད། རང་སེམས་ཁྲལ་མ་བྱེད་ཅིག ང་ཚོས་རང་ཁག་པོ་བཟོ་དགོས་མ་རེད། རང་གི་བདེ་འཇགས་ང་ཚོས་འགན་ལེན་བྱེད་ཆོག
STT_AB00740_0040_256382_to_261663,བཅོམ་ལྡན་འདས་ཀྱིས་མོ་རང་གི་སེམས་སུ་སྦས་པའི་སྡུག་བསྔལ་ཡོད་དོ་ཅོག་མཁྱེན་གྱི་ཡོད་པ་ལྟ་བུར་ཚོར་ཞིང་།  ,bcom ldan 'das kyis mo rang gi sems su sbas pa'i sdug bsngal yod do cog mkhyen gyi yod pa lta bur tshor zhing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00740_0040_256382_to_261663.wav,STT_AB,2,98,5.281,wav16k/STT_AB00740_0040_256382_to_261663.wav,བཅོམ་ལྡན་འདས་ཀྱིས་མོ་རང་གི་སེམས་སུ་འབད་པའི་སྡུག་བསྔལ་ཡོད་དོ་ཅོག་མཁྱེན་གྱིས་ཡོད་པ་ལྟ་བུ་ཚོལ་ཞིང་།
STT_AB00740_0041_262244_to_269060,མོ་རང་གི་སེམས་ཀྱི་སྡུག་བསྔལ་མང་དག་ཅིག་བཅོམ་ལྡན་འདས་མཇལ་བ་ཙམ་གྱིས་ཞི་བར་གྱུར། མོའི་མིག་འདབས་ཀྱི་རྫི་མའི་ངོས་སུ་ ,mo rang gi sems kyi sdug bsngal mang dag cig bcom ldan 'das mjal ba tsam gyis zhi bar gyur/_mo'i mig 'dabs kyi rdzi ma'i ngos su _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00740_0041_262244_to_269060.wav,STT_AB,2,111,6.816,wav16k/STT_AB00740_0041_262244_to_269060.wav,མོ་རང་གི་སེམས་ཀྱི་སྡུག་བསྔལ་མང་དང་ཅི། བཅོམ་ལྡན་འདས་མཇལ་བ་ཙམ་གྱིས་ཞུ་བར་གྱུལ། མོའི་མིག་ལྡབ་ཀྱི་རཛིན་མའི་ངོས་སུ་
